Ordine e disciplina,Codice Ateco 2007,Descrizione,,,,,
26,01.14.00,Coltivazione di canna da zucchero,,,,,
27,01.15,Coltivazione di tabacco,,,,,
28,01.15.0,Coltivazione di tabacco,,,,,
29,01.15.00,Coltivazione di tabacco,,,,,
30,01.16,Coltivazione di piante tessili,,,,,
31,01.16.0,Coltivazione di piante per la preparazione di fibre tessili,,,,,
32,01.16.00,Coltivazione di piante per la preparazione di fibre tessili,,,,,
33,01.19,Floricoltura e coltivazione di altre colture non permanenti,,,,,
34,01.19.1,Coltivazione di fiori in piena aria,,,,,
35,01.19.10,Coltivazione di fiori in piena aria,,,,,
36,01.19.2,Coltivazione di fiori in colture protette,,,,,
37,01.19.20,Coltivazione di fiori in colture protette,,,,,
38,01.19.9,Coltivazione di piante da foraggio e di altre colture non permanenti,,,,,
39,01.19.90,Coltivazione di piante da foraggio e di altre colture non permanenti,,,,,
40,01.2,COLTIVAZIONE DI COLTURE PERMANENTI,,,,,
41,01.21,Coltivazione di uva,,,,,
42,01.21.0,Coltivazione di uva,,,,,
43,01.21.00,Coltivazione di uva,,,,,
44,01.22,Coltivazione di frutta di origine tropicale e subtropicale,,,,,
45,01.22.0,Coltivazione di frutta di origine tropicale e subtropicale,,,,,
46,01.22.00,Coltivazione di frutta di origine tropicale e subtropicale,,,,,
47,01.23,Coltivazione di agrumi,,,,,
48,01.23.0,Coltivazione di agrumi,,,,,
49,01.23.00,Coltivazione di agrumi,,,,,
50,01.24,Coltivazione di pomacee e frutta a nocciolo,,,,,
51,01.24.0,Coltivazione di pomacee e frutta a nocciolo,,,,,
52,01.24.00,Coltivazione di pomacee e frutta a nocciolo,,,,,
53,01.25,"Coltivazione di altri alberi da frutta, frutti di bosco e in guscio",,,,,
54,01.25.0,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio",,,,,
55,01.25.00,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio",,,,,
56,01.26,Coltivazione di frutti oleosi,,,,,
57,01.26.0,Coltivazione di frutti oleosi,,,,,
58,01.26.00,Coltivazione di frutti oleosi,,,,,
59,01.27,Coltivazione di piante per la produzione di bevande,,,,,
60,01.27.0,Coltivazione di piante per la produzione di bevande,,,,,
61,01.27.00,Coltivazione di piante per la produzione di bevande,,,,,
62,01.28,"Coltivazione di spezie, piante aromatiche e farmaceutiche",,,,,
63,01.28.0,"Coltivazione di spezie, piante aromatiche e farmaceutiche",,,,,
64,01.28.00,"Coltivazione di spezie, piante aromatiche e farmaceutiche",,,,,
65,01.29,Coltivazione di altre colture permanenti (inclusi alberi di Natale),,,,,
66,01.29.0,Coltivazione di altre colture permanenti (inclusi alberi di Natale),,,,,
67,01.29.00,Coltivazione di altre colture permanenti (inclusi alberi di Natale),,,,,
68,01.3,RIPRODUZIONE DELLE PIANTE,,,,,
69,01.30,Riproduzione delle piante,,,,,
70,01.30.0,Riproduzione delle piante,,,,,
71,01.30.00,Riproduzione delle piante,,,,,
72,01.4,ALLEVAMENTO DI ANIMALI,,,,,
73,01.41,Allevamento di bovini da latte,,,,,
74,01.41.0,"Allevamento di bovini e bufale da latte, produzione di latte crudo",,,,,
75,01.41.00,"Allevamento di bovini e bufale da latte, produzione di latte crudo",,,,,
76,01.42,Allevamento di altri bovini e di bufalini,,,,,
77,01.42.0,Allevamento di bovini e bufalini da carne,,,,,
78,01.42.00,Allevamento di bovini e bufalini da carne,,,,,
79,01.43,Allevamento di cavalli e altri equini,,,,,
80,01.43.0,Allevamento di cavalli e altri equini,,,,,
81,01.43.00,Allevamento di cavalli e altri equini,,,,,
82,01.44,Allevamento di cammelli e camelidi,,,,,
83,01.44.0,Allevamento di cammelli e camelidi,,,,,
84,01.44.00,Allevamento di cammelli e camelidi,,,,,
85,01.45,Allevamento di ovini e caprini,,,,,
86,01.45.0,Allevamento di ovini e caprini,,,,,
87,01.45.00,Allevamento di ovini e caprini,,,,,
88,01.46,Allevamento di suini,,,,,
89,01.46.0,Allevamento di suini,,,,,
90,01.46.00,Allevamento di suini,,,,,
91,01.47,Allevamento di pollame,,,,,
92,01.47.0,Allevamento di pollame,,,,,
93,01.47.00,Allevamento di pollame,,,,,
94,01.49,Allevamento di altri animali,,,,,
95,01.49.1,Allevamento di conigli,,,,,
96,01.49.10,Allevamento di conigli,,,,,
97,01.49.2,Allevamento di animali da pelliccia,,,,,
98,01.49.20,Allevamento di animali da pelliccia,,,,,
99,01.49.3,Apicoltura,,,,,
100,01.49.30,Apicoltura,,,,,
101,01.49.4,Bachicoltura,,,,,
102,01.49.40,Bachicoltura,,,,,
103,01.49.9,Allevamento di altri animali nca,,,,,
104,01.49.90,Allevamento di altri animali nca,,,,,
105,01.5,COLTIVAZIONI AGRICOLE ASSOCIATE ALL'ALLEVAMENTO DI ANIMALI: ATTIVITÀ MISTA,,,,,
106,01.50,Coltivazioni agricole associate all'allevamento di animali: attività mista,,,,,
107,01.50.0,Coltivazioni agricole associate all'allevamento di animali: attività mista,,,,,
108,01.50.00,Coltivazioni agricole associate all'allevamento di animali: attività mista,,,,,
109,01.6,ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA,,,,,
110,01.61,Attività di supporto alla produzione vegetale,,,,,
111,01.61.0,Attività di supporto alla produzione vegetale,,,,,
112,01.61.00,Attività di supporto alla produzione vegetale,,,,,
113,01.62,Attività di supporto alla produzione animale,,,,,
114,01.62.0,Attività di supporto alla produzione animale (esclusi i servizi veterinari),,,,,
115,01.62.01,Attività dei maniscalchi,,,,,
116,01.62.09,Altre attività di supporto alla produzione animale (esclusi i servizi veterinari),,,,,
117,01.63,Attività successive alla raccolta,,,,,
118,01.63.0,Attività che seguono la raccolta,,,,,
119,01.63.00,Attività che seguono la raccolta,,,,,
120,01.64,Lavorazione delle sementi per la semina,,,,,
121,01.64.0,Lavorazione delle sementi per la semina,,,,,
122,01.64.01,Pulitura e cernita di semi e granaglie,,,,,
123,01.64.09,Altre lavorazioni delle sementi per la semina,,,,,
124,01.7,"CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI",,,,,
125,01.70,"Caccia, cattura di animali e servizi connessi",,,,,
126,01.70.0,"Caccia, cattura di animali e servizi connessi",,,,,
127,01.70.00,"Caccia, cattura di animali e servizi connessi",,,,,
128,2,SILVICOLTURA ED UTILIZZO DI AREE FORESTALI,,,,,
129,02.1,SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI,,,,,
130,02.10,Silvicoltura ed altre attività forestali,,,,,
131,02.10.0,Silvicoltura e altre attività forestali,,,,,
132,02.10.00,Silvicoltura e altre attività forestali,,,,,
133,02.2,UTILIZZO DI AREE FORESTALI,,,,,
134,02.20,Utilizzo di aree forestali,,,,,
135,02.20.0,Utilizzo di aree forestali,,,,,
136,02.20.00,Utilizzo di aree forestali,,,,,
137,02.3,RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI,,,,,
138,02.30,Raccolta di prodotti selvatici non legnosi,,,,,
139,02.30.0,Raccolta di prodotti selvatici non legnosi,,,,,
140,02.30.00,Raccolta di prodotti selvatici non legnosi,,,,,
141,02.4,SERVIZI DI SUPPORTO PER LA SILVICOLTURA,,,,,
142,02.40,Servizi di supporto per la silvicoltura,,,,,
143,02.40.0,Servizi di supporto per la silvicoltura,,,,,
144,02.40.00,Servizi di supporto per la silvicoltura,,,,,
145,3,PESCA E ACQUACOLTURA,,,,,
146,03.1,PESCA,,,,,
147,03.11,Pesca marina,,,,,
148,03.11.0,Pesca in acque marine e lagunari e servizi connessi,,,,,
149,03.11.00,Pesca in acque marine e lagunari e servizi connessi,,,,,
150,03.12,Pesca in acque dolci,,,,,
151,03.12.0,Pesca in acque dolci e servizi connessi,,,,,
152,03.12.00,Pesca in acque dolci e servizi connessi,,,,,
153,03.2,ACQUACOLTURA,,,,,
154,03.21,Acquacoltura marina,,,,,
155,03.21.0,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi",,,,,
156,03.21.00,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi",,,,,
157,03.22,Acquacoltura in acque dolci,,,,,
158,03.22.0,Acquacoltura in acque dolci e servizi connessi,,,,,
159,03.22.00,Acquacoltura in acque dolci e servizi connessi,,,,,
160,B,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,,,,,
161,5,ESTRAZIONE DI CARBONE (ESCLUSA TORBA),,,,,
162,05.1,ESTRAZIONE DI ANTRACITE,,,,,
163,05.10,Estrazione di antracite,,,,,
164,05.10.0,Estrazione di antracite e litantrace,,,,,
165,05.10.00,Estrazione di antracite e litantrace,,,,,
166,05.2,ESTRAZIONE DI LIGNITE,,,,,
167,05.20,Estrazione di lignite,,,,,
168,05.20.0,Estrazione di lignite,,,,,
169,05.20.00,Estrazione di lignite,,,,,
170,6,ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE,,,,,
171,06.1,ESTRAZIONE DI PETROLIO GREGGIO,,,,,
172,06.10,Estrazione di petrolio greggio,,,,,
173,06.10.0,Estrazione di petrolio greggio,,,,,
174,06.10.00,Estrazione di petrolio greggio,,,,,
175,06.2,ESTRAZIONE DI GAS NATURALE,,,,,
176,06.20,Estrazione di gas naturale,,,,,
177,06.20.0,Estrazione di gas naturale,,,,,
178,06.20.00,Estrazione di gas naturale,,,,,
179,7,ESTRAZIONE DI MINERALI METALLIFERI,,,,,
180,07.1,ESTRAZIONE DI MINERALI METALLIFERI FERROSI,,,,,
181,07.10,Estrazione di minerali metalliferi ferrosi,,,,,
182,07.10.0,Estrazione di minerali metalliferi ferrosi,,,,,
183,07.10.00,Estrazione di minerali metalliferi ferrosi,,,,,
184,07.2,ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI,,,,,
185,07.21,Estrazione di minerali di uranio e di torio,,,,,
186,07.21.0,Estrazione di minerali di uranio e di torio,,,,,
187,07.21.00,Estrazione di minerali di uranio e di torio,,,,,
188,07.29,Estrazione di altri minerali metalliferi non ferrosi,,,,,
189,07.29.0,Estrazione di altri minerali metalliferi non ferrosi,,,,,
190,07.29.00,Estrazione di altri minerali metalliferi non ferrosi,,,,,
191,8,ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE,,,,,
192,08.1,"ESTRAZIONE DI PIETRA, SABBIA E ARGILLA",,,,,
193,08.11,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",,,,,
194,08.11.0,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",,,,,
195,08.11.00,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia",,,,,
196,08.12,Estrazione di ghiaia e sabbia, estrazione di argille e caolino,,,,
197,08.12.0,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",,,,,
198,08.12.00,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino",,,,,
199,08.9,ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA,,,,,
200,08.91,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,,,,,
201,08.91.0,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,,,,,
202,08.91.00,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti,,,,,
203,08.92,Estrazione di torba,,,,,
204,08.92.0,Estrazione di torba,,,,,
205,08.92.00,Estrazione di torba,,,,,
206,08.93,Estrazione di sale,,,,,
207,08.93.0,Estrazione di sale,,,,,
208,08.93.00,Estrazione di sale,,,,,
209,08.99,Estrazione di altri minerali da cave e miniere nca,,,,,
210,08.99.0,Estrazione di altri minerali nca,,,,,
211,08.99.01,Estrazione di asfalto e bitume naturale,,,,,
212,08.99.09,Estrazione di pomice e di altri minerali nca,,,,,
213,9,ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE,,,,,
214,09.1,ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE,,,,,
215,09.10,Attività di supporto all'estrazione di petrolio e di gas naturale,,,,,
216,09.10.0,Attività di supporto all'estrazione di petrolio e di gas naturale,,,,,
217,09.10.00,Attività di supporto all'estrazione di petrolio e di gas naturale,,,,,
218,09.9,ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI,,,,,
219,09.90,Attività di supporto per l'estrazione da cave e miniere di altri minerali,,,,,
220,09.90.0,Attività di supporto per l'estrazione da cave e miniere di altri minerali,,,,,
221,09.90.01,"Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice",,,,,
222,09.90.09,Attività di supporto all'estrazione di altri minerali nca,,,,,
223,C,ATTIVITÀ MANIFATTURIERE,,,,,
224,10,INDUSTRIE ALIMENTARI,,,,,
225,10.1,LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE,,,,,
226,10.11,Lavorazione e conservazione di carne (escluso volatili),,,,,
227,10.11.0,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),,,,,
228,10.11.00,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi),,,,,
229,10.12,Lavorazione e conservazione di carne di volatili,,,,,
230,10.12.0,Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi),,,,,
231,10.12.00,Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi),,,,,
232,10.13,Produzione di prodotti a base di carne (inclusa la carne di volatili),,,,,
233,10.13.0,Produzione di prodotti a base di carne (inclusa la carne di volatili),,,,,
234,10.13.00,Produzione di prodotti a base di carne (inclusa la carne di volatili),,,,,
235,10.2,"LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI",,,,,
236,10.20,"Lavorazione e conservazione di pesce, crostacei e molluschi",,,,,
237,10.20.0,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera",,,,,
238,10.20.00,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera",,,,,
239,10.3,LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI,,,,,
240,10.31,Lavorazione e conservazione delle patate,,,,,
241,10.31.0,Lavorazione e conservazione delle patate,,,,,
242,10.31.00,Lavorazione e conservazione delle patate,,,,,
243,10.32,Produzione di succhi di frutta e di ortaggi,,,,,
244,10.32.0,Produzione di succhi di frutta e di ortaggi,,,,,
245,10.32.00,Produzione di succhi di frutta e di ortaggi,,,,,
246,10.39,Altra Lavorazione e conservazione di frutta e di ortaggi,,,,,
247,10.39.0,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),,,,,
248,10.39.00,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi),,,,,
249,10.4,PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI,,,,,
250,10.41,Produzione di oli e grassi,,,,,
251,10.41.1,Produzione di olio di oliva da olive prevalentemente non di produzione propria,,,,,
252,10.41.10,Produzione di olio di oliva da olive prevalentemente non di produzione propria,,,,,
253,10.41.2,Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria,,,,,
254,10.41.20,Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria,,,,,
255,10.41.3,Produzione di oli e grassi animali grezzi o raffinati,,,,,
256,10.41.30,Produzione di oli e grassi animali grezzi o raffinati,,,,,
257,10.42,Produzione di margarina e di grassi commestibili simili,,,,,
258,10.42.0,Produzione di margarina e di grassi commestibili simili,,,,,
259,10.42.00,Produzione di margarina e di grassi commestibili simili,,,,,
260,10.5,INDUSTRIA LATTIERO-CASEARIA,,,,,
261,10.51,"Industria lattiero-casearia, trattamento igienico, conservazione del latte",,,,,
262,10.51.1,Trattamento igienico del latte,,,,,
263,10.51.10,Trattamento igienico del latte,,,,,
264,10.51.2,Produzione dei derivati del latte,,,,,
265,10.51.20,Produzione dei derivati del latte,,,,,
266,10.52,Produzione di gelati,,,,,
267,10.52.0,Produzione di gelati senza vendita diretta al pubblico,,,,,
268,10.52.00,Produzione di gelati senza vendita diretta al pubblico,,,,,
269,10.6,"LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI",,,,,
270,10.61,Lavorazione delle granaglie,,,,,
271,10.61.1,Molitura del frumento,,,,,
272,10.61.10,Molitura del frumento,,,,,
273,10.61.2,Molitura di altri cereali,,,,,
274,10.61.20,Molitura di altri cereali,,,,,
275,10.61.3,Lavorazione del riso,,,,,
276,10.61.30,Lavorazione del riso,,,,,
277,10.61.4,Altre lavorazioni di semi e granaglie,,,,,
278,10.61.40,Altre lavorazioni di semi e granaglie,,,,,
279,10.62,Produzione di amidi e di prodotti amidacei,,,,,
280,10.62.0,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),,,,,
281,10.62.00,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),,,,,
282,10.7,PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI,,,,,
283,10.71,Produzione di pane, prodotti di pasticceria freschi,,,,
284,10.71.1,Produzione di prodotti di panetteria freschi,,,,,
285,10.71.10,Produzione di prodotti di panetteria freschi,,,,,
286,10.71.2,Produzione di pasticceria fresca,,,,,
287,10.71.20,Produzione di pasticceria fresca,,,,,
288,10.72,Produzione di fette biscottate e di biscotti, produzione di prodotti di pasticceria conservati,,,,
289,10.72.0,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",,,,,
290,10.72.00,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",,,,,
291,10.73,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,,,,
292,10.73.0,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,,,,
293,10.73.00,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,,,,
294,10.8,PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI,,,,,
295,10.81,Produzione di zucchero,,,,,
296,10.81.0,Produzione di zucchero,,,,,
297,10.81.00,Produzione di zucchero,,,,,
298,10.82,"Produzione di cacao, cioccolato, caramelle e confetterie",,,,,
299,10.82.0,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",,,,,
300,10.82.00,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",,,,,
301,10.83,Lavorazione del tè e del caffè,,,,,
302,10.83.0,Lavorazione del tè e del caffè,,,,,
303,10.83.01,Lavorazione del caffè,,,,,
304,10.83.02,Lavorazione del tè e di altri preparati per infusi,,,,,
305,10.84,Produzione di condimenti e spezie,,,,,
306,10.84.0,Produzione di condimenti e spezie,,,,,
307,10.84.00,Produzione di condimenti e spezie,,,,,
308,10.85,Produzione di pasti e piatti preparati,,,,,
309,10.85.0,"Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)",,,,,
310,10.85.01,Produzione di piatti pronti a base di carne e pollame,,,,,
311,10.85.02,"Produzione di piatti pronti a base di pesce, inclusi fish and chips",,,,,
312,10.85.03,Produzione di piatti pronti a base di ortaggi,,,,,
313,10.85.04,Produzione di pizza confezionata,,,,,
314,10.85.05,Produzione di piatti pronti a base di pasta,,,,,
315,10.85.09,Produzione di pasti e piatti pronti di altri prodotti alimentari,,,,,
316,10.86,Produzione di preparati omogeneizzati e di alimenti dietetici,,,,,
317,10.86.0,Produzione di preparati omogeneizzati e di alimenti dietetici,,,,,
318,10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici,,,,,
319,10.89,Produzione di prodotti alimentari nca,,,,,
320,10.89.0,Produzione di prodotti alimentari nca,,,,,
321,10.89.01,Produzione di estratti e succhi di carne,,,,,
322,10.89.09,Produzione di altri prodotti alimentari nca,,,,,
323,10.9,PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI,,,,,
324,10.91,Produzione di mangimi per l'alimentazione degli animali da allevamento,,,,,
325,10.91.0,Produzione di mangimi per l'alimentazione degli animali da allevamento,,,,,
326,10.91.00,Produzione di mangimi per l'alimentazione degli animali da allevamento,,,,,
327,10.92,Produzione di prodotti per l'alimentazione degli animali da compagnia,,,,,
328,10.92.0,Produzione di prodotti per l'alimentazione degli animali da compagnia,,,,,
329,10.92.00,Produzione di prodotti per l'alimentazione degli animali da compagnia,,,,,
330,11,INDUSTRIA DELLE BEVANDE,,,,,
331,11.0,INDUSTRIA DELLE BEVANDE,,,,,
332,11.01,"Distillazione, rettifica e miscelatura degli alcolici",,,,,
333,11.01.0,"Distillazione, rettifica e miscelatura degli alcolici",,,,,
334,11.01.00,"Distillazione, rettifica e miscelatura degli alcolici",,,,,
335,11.02,Produzione di vini da uve,,,,,
336,11.02.1,Produzione di vini da tavola e v.q.p.r.d.,,,,,
337,11.02.10,Produzione di vini da tavola e v.q.p.r.d.,,,,,
338,11.02.2,Produzione di vino spumante e altri vini speciali,,,,,
339,11.02.20,Produzione di vino spumante e altri vini speciali,,,,,
340,11.03,Produzione di sidro e di altri vini a base di frutta,,,,,
341,11.03.0,Produzione di sidro e di altri vini a base di frutta,,,,,
342,11.03.00,Produzione di sidro e di altri vini a base di frutta,,,,,
343,11.04,Produzione di altre bevande fermentate non distillate,,,,,
344,11.04.0,Produzione di altre bevande fermentate non distillate,,,,,
345,11.04.00,Produzione di altre bevande fermentate non distillate,,,,,
346,11.05,Produzione di birra,,,,,
347,11.05.0,Produzione di birra,,,,,
348,11.05.00,Produzione di birra,,,,,
349,11.06,Produzione di malto,,,,,
350,11.06.0,Produzione di malto,,,,,
351,11.06.00,Produzione di malto,,,,,
352,11.07,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,,,,
353,11.07.0,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,,,,
354,11.07.00,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,,,,
355,12,INDUSTRIA DEL TABACCO,,,,,
356,12.0,INDUSTRIA DEL TABACCO,,,,,
357,12.00,Industria del tabacco,,,,,
358,12.00.0,Industria del tabacco,,,,,
359,12.00.00,Industria del tabacco,,,,,
360,13,INDUSTRIE TESSILI,,,,,
361,13.1,PREPARAZIONE E FILATURA DI FIBRE TESSILI,,,,,
362,13.10,Preparazione e filatura di fibre tessili,,,,,
363,13.10.0,Preparazione e filatura di fibre tessili,,,,,
364,13.10.00,Preparazione e filatura di fibre tessili,,,,,
365,13.2,TESSITURA,,,,,
366,13.20,Tessitura,,,,,
367,13.20.0,Tessitura,,,,,
368,13.20.00,Tessitura,,,,,
369,13.3,FINISSAGGIO DEI TESSILI,,,,,
370,13.30,Finissaggio dei tessili,,,,,
371,13.30.0,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",,,,,
372,13.30.00,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",,,,,
373,13.9,ALTRE INDUSTRIE TESSILI,,,,,
374,13.91,Fabbricazione di tessuti a maglia,,,,,
375,13.91.0,Fabbricazione di tessuti a maglia,,,,,
376,13.91.00,Fabbricazione di tessuti a maglia,,,,,
377,13.92,Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento),,,,,
378,13.92.1,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",,,,,
379,13.92.10,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",,,,,
380,13.92.2,Fabbricazione di articoli in materie tessili nca,,,,,
381,13.92.20,Fabbricazione di articoli in materie tessili nca,,,,,
382,13.93,Fabbricazione di tappeti e moquette,,,,,
383,13.93.0,Fabbricazione di tappeti e moquette,,,,,
384,13.93.00,Fabbricazione di tappeti e moquette,,,,,
385,13.94,"Fabbricazione di spago, corde, funi e reti",,,,,
386,13.94.0,"Fabbricazione di spago, corde, funi e reti",,,,,
387,13.94.00,"Fabbricazione di spago, corde, funi e reti",,,,,
388,13.95,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,,,,
389,13.95.0,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,,,,
390,13.95.00,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,,,,
391,13.96,Fabbricazione di articoli tessili tecnici ed industriali,,,,,
392,13.96.1,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",,,,,
393,13.96.10,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",,,,,
394,13.96.2,Fabbricazione di altri articoli tessili tecnici ed industriali,,,,,
395,13.96.20,Fabbricazione di altri articoli tessili tecnici ed industriali,,,,,
396,13.99,Fabbricazione di altri prodotti tessili nca,,,,,
397,13.99.1,Fabbricazione di ricami,,,,,
398,13.99.10,Fabbricazione di ricami,,,,,
399,13.99.2,"Fabbricazione di tulle, pizzi e merletti",,,,,
400,13.99.20,"Fabbricazione di tulle, pizzi e merletti",,,,,
401,13.99.9,Fabbricazione di feltro e articoli tessili diversi,,,,,
402,13.99.90,Fabbricazione di feltro e articoli tessili diversi,,,,,
403,14,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO, CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA,,,,
404,14.1,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA),,,,,
405,14.11,Confezione di abbigliamento in pelle,,,,,
406,14.11.0,Confezione di abbigliamento in pelle e similpelle,,,,,
407,14.11.00,Confezione di abbigliamento in pelle e similpelle,,,,,
